original,disfluent
Who deployed its army into Iraq in 1979?,Who deployed its army into Afghanistan in 1979 no sorry not Afghanistan but in Iraq?
Innate cells can act as mediators in the activation of what branch of the immune system?,What cells are the second arm of the innate immune system or rather Innate cells can act as mediators in the activation of what branch of the immune system?
What publication printed that the wealthiest 1% have more money than those in the bottom 99%?,What institution no um publication printed that the wealthiest 1% have more money than those in the bottom 99%?
What is the name of the park in Atascadero?,What is the name of the park in Reedley er uh better Atascadero?
When was the Masovian Duchy reincorporated into the Polish Crown?,When was the settlement which would become Warsaw established no not that but when was the Masovian Duchy reincorporated into the Polish Crown?
In what decade did the U of C affiliate with numerous national colleges?,In what decade did the Des Moines College or no make that the U of C affiliate with numerous national colleges?
What portion of households in Jacksonville have only one person?,Which percentage of households in Jacksonville have more than no sorry have only one person?
How much do estimations of the population during the plague vary?,How much did the clergy no do estimations of the population during the plague vary?
There's a rough border between Switzerland and what other country formed by the Rhine?,There's a tributary border between Switzerland and what other country formed by the Rhine no a rough?
What is not a form of immunological memory?,Which is or no make that what is not a form of immunological memory?
In what month in 1349 did the second wave of the plague reach England?,In what month in 1347 no um 1349 did the second wave of the plague reach England?
What increases entrepreneurship rates at the individual level?,How does no actually what increases entrepreneurship rates at the individual level?
 What Chinese system did Kublai's government not compromise with?,What Chinese system did Mongols no the Kublai's government not compromise with?
How many avulsions have occurred in the past 6000 yeas?,How many avulsions have occurred in upland areas or actually just the past 6000 years?
What question has not led to criticism?,What question has not led to consequences uh alternatively criticism?
What is one general concept that applies to elements of commutative rings?,Which is or no make that what is one general concept that applies to elements of commutative rings?
What probiotic flora is found in unpasteurized yogurt?,Which or rather what probiotic flora is found in unpasteurized yogurt?
What is Circuit Switching? ,What is  packet or uh Circuit Switching?
When did Warsaw become the capital of the Kingdom of Poland?,When is or actually tell me when did Warsaw become the capital of the Kingdom of Poland?
What is the rarest cause of poor immune function in developing countries?,What occurs er what is the rarest cause of poor immune function in developing countries?
What does poor academic achievement lead to according to critics?,What can non-profit trusts and societies do no no wait What does poor academic achievement lead to according to critics?
What castle currently houses the Centre for Ujazdow Art?,What castle currently concerts er uh houses the Centre for Ujazdow Art?
What did the 2007 IPCC report suggest had been decreasing? ,What did the 2001 er uh 2007 IPCC report suggest had been decreasing?
Did Davies and Baran collaborate at any point after they both developed this concept?,Did Davies and Baran propose uh instead collaborate at any point after they both developed this concept?
What is another type of public key cryptography algorithm?,Which is or no rather what is another type of public key cryptography algorithm?
What state constitutional amendments make reference to the government funding religious schools?,What state constitutional amendments make reference to the government funding private schools no no I mean religious schools?
What did Neoclassical economics view the inequality in the distribution of income as being from?,What philosophy er what did Neoclassical economics view the inequality in the distribution of income as being from?
"The Second Minister, Scottish cabinet ministers and whom sit in the front row in the debating chamber?","Why is the seating arrangement no no no the Second Minister, Scottish cabinet ministers and whom sit in the front row in the debating chamber?"
Why is the Holocene not shown clearly on the first timeline?,Why is the Holocene not shown clearly on the first scale or uh timeline?
What tool do they use in public school to maintain discipline?,"What tool do they use in private school to maintain discipline, oh sorry that was supposed to be public schools?"
What did the ongoing Alpine orogeny cause before the Eocene?,What did the ongoing Upper Rhine uh rather Alpine orogeny cause before the Eocene?
In 2009 what was the total of Grants awarded from Harvard?,In 2008 what was the total of Grants awarded from Harvard no uh 2009?
What has it now become possible to do when dating isotopes while using fossils?,What has it now become possible let me rephrase what is now possible regarding dating isotopes while using fossils?
Why aren't the examples of bouregois architecture visible today?,Why is no why aren't the examples of bouregois architecture visible today?
Global internet was help funded by what foundation? ,CSNet no no I meant Global internet was help funded by what foundation?
What comedian is also a university graduate? ,What photographer uh no comedian is also a university graduate?
Public and private funding led to what development? ,Public and private funding led to what program no um development?
How did the black death make it to the Mediterranean and Europe?,How did the black death make it to the Mediterranean and America oops I mean Europe?
Which University's library system has over 10 millionvolumes?,What collection no sorry I mean which University's library system has over 10 million volumes?
What is the process by which the antigen/antibody complex is processed in to peptides?,What is the process by which the antigen/antibody complex is binding no I mean processed in to peptides?
What does rebellion require in Christian Bay's encyclopedia?,What does civil disobedience require in Christian Bay's encyclopedia sorry no rebellion?
What type of network does SITA HLN not use?,What type of network does ARPANET no make that SITA HLN not use?
What gets smaller when a number is prime?,What gets smaller when a number is global ummm prime?
After which decade did modern styles give way to Gothic styles on campus?,After which decade did Ludwig Mies van der Rohe excuse me I mean modern styles give way to Gothic styles on campus?
What is the name of one algebraic generalization Goldbach's conjecture has inspired?,What is the name of one algebraic generalization that prime numbers no Goldbach's conjecture has inspired?
How did the Rhine extend watershed southward? ,What period er how did the Rhine extend watershed southward?
What system gives an organism long lasting immunity against a pathogen?,What response er like system gives an organism long lasting immunity against a pathogen?
What year did Hoesung Lee become President?,When did no what year did Hoesung Lee become President?
What was intent of Celeron's expedition?,How did  sorry What was intent of Celeron's expedition?
What happens when tyrosinase is expressed at low levels?,"What happens when tyrosinase is expressed at normal, scratch that, low levels?"
What do partnering and construction management emphasize for the design-build process?,What helpser er what do partnering and construction management emphasize for the design-build process?
What is the main goal of criminal punishment of civil disobedients?,What is the deterrent no main goal of criminal punishment of civil disobedience?
What are the first buildings the university built knows as today?,Which or rather what are the first buildings the university built knows as today?
What debate lasts for 55 minutes?,What does er uh what debate lasts for 55 minutes?
What is the group called that does not agree with government at all?,What do  no What is the group called that does not agree with government at all?
Brownlee argues disobedience can be justified toward what institutions?,Brownlee argues opposition or maybe disobedience can be justified toward what institutions?
Building printing is making it possible to flexibly construct small commercial buildings and private habitations in what amount of time?,Building printing is being researched or rather making it possible to flexibly construct small commercial buildings and private habitations in what amount of time?
The Rhine forms the border between Austria and what other country? ,The Rhine joins no um forms the border between Liechtenstein no um Austria and what other country?
What provides chemical protection to pathogens?,What provides respiratory tract secrete antimicrobial peptides no um chemical protection to pathogens?
When was Zia-ul-Haq born?,What was er when was Zia-ul-Haq born?
Which timeline is further expanded in the fourth scale?,Which timeline is further expanded in the second scale or make that the fourth scale?
What network was designed by the french ,What network was directed no designed by the french?
How much bandwidth is dedicated for each communication session?,How  is packet switching characterized no wait just tell me how much bandwidth is dedicated for each communication session?
When was the Gerald Ratner Athletics Center constructed?,How was the no uh make that when was  the Gerald Ratner Athletics Center constructed?
What decreases with the increase of income inequality?,"What type of rates, uh no, actually I want to ask what decreases with the increase of income inequality?"
Who was made rich and prosperous prior to World War 1,What was or make that who was made rich and prosperous prior to World War I?
Imperialism is confused with what other term?,Colonialism is no imperialism is confused with what other term?
What animal sometimes swims in the Rhine?,Which or no make that what animal sometimes swims in the Rhine?
Which organization covers the cost of the President of the IPCC?,Which organization covers the cost of the Prime-minister sorry I mean President of the IPCC?
Secular Arab nationalism was blamed for both the success of Arab troops as well as what type of stagnation?,Secular Arab nationalism was blamed for both the defeat of Arab troops as well as what type of stagnation no sorry Secular Arab nationalism blamed for in addition to it's success?
When did the Roman empire fall?,When did the Roman empire accept as her Germanic frontier the water-boundary of the Rhine make that fall?fall?
What type of math was not advanced during the Yuan?,What type of math was advanced during the Yuan no sorry which type wasn't advanced during the Yuan?
How many years could separate outbreaks of the black death?,When was no how many years could separate outbreaks of the black death?
What the marginal utility of wealth per income per person do as that person becomes poorer?,What the marginal luxury sorry utility of wealth per income per person do as that person becomes poorer?
What troops attacked Fort William Henry in early 1775?,"What troops attacked Fort William Henry in early 1757, sorry, 1775?"
 What declined when Arab nationalism suffered?,What was or what declined when Arab nationalism suffered?
What techniques did Chinese medicine include?,How many er what techniques did Chinese medicine include?
What mechanisms do many species not utilize?,What is the system um mechanisms do many species not utilize?
What is the most distinctive feature of ctenophora?,What is the most distinctive feature of cnidarian er sorry ctenophora?
When did the Jin dynasty begin?,"When did the Song dynasty begin, oh no the Jin dynasty actually, when did it begin?"
What does the WG I Summary for Policymakers report say human activities are doing to greenhouse gases?,What does the WG I Summary for Policymakers report say increased greenhouse gases cause or rather human activities are doing to greenhouse gases?
 Where did Charles de Gaulle and the Free English run operations during World War 2?,How did no where did Charles de Gaulle and the Free English run operations during World War 2?
What kind of focus has the Ethical Reasoning program had since 2007?,What kind of focus has the Ethical Reasoning program had since 2008 wait uh 2007?
"What foreign bodies, which are older than the rocks themselves, occur igneous rocks?","which are older than the rocks themselves, What foreign bodies occur igneous rocks ?"
What kind of measurements define accelerlations?,What kind of measurements describe the proportionality of acceleration force to mass make that define accelerlations?
Which two codes were the roles of pharmacists destroyed?,Which organizational structure remained no just two codes were the roles of pharmacists destroyed?
How many more flows carry insignificant amounts of water?,How much or uh how many more flows carry insignificant amounts of water?
What members typically open debates?,What chambers sorry I mean members typically open debates?
Why is there not a push for the U.S. to reduce consumer drug costs?,Why is there not a push for the U.S. to reduce prescription no consumer drug costs?
When did England formally end war on France?,When did Austria uh nevermind uh England formally end war on France?
What is the French name for the Rhine? ,What is the Dutch rather French name for the Rhine?
What is malum in se considerations?,How is or no rather what is malum in se considerations?
What are the over 118 clubs run by students at the U of C called collectively?,What are the over 118 clubs run by religious groups no students at the U of C called collectively?
What fields have lost influence over pharmacy in the United States?,What degree uh what fields have lost influence over pharmacy in the United States?
What is the maximum distance between a patient's home and the nearest pharmacy that allows a physician in Austria to give out medicine?,What is the maximum distance between a patient's home and the nearest pharmacy that permits umm rather allows a physician in Austria to give out medicine?
What is the confusion of the French and Indian war?,How was no what is the confusion of the French and Indian war?
Where does the jelly-like layer come from in complex animals?,What are Ctenophores and cnidarians classified as no change that to where does the jelly-like layer come from in complex animals?
What do public schools operate outside of in Germany?,How do or no rather what do public schools operate outside of in Germany?
What do mesoglea adapt to when relying on brackish water?,When do scratch that what do mesoglea adapt to when relying on brackish water?
What cytokines are responsible for communication between white blood cells?,Name the cytokines responsible for communication between red no rather white blood cells?
What are analog models often considered as compared to orogenic wedges?,"What are analog models often considered as compared to horizontal layers of sand, no sorry, of orogenic wedges?"
What does ctenophore mean in Greek?,What does cilia mean in Greek no ctenophore?
When was the divestment from South Africa movement? ,When was the blockade or uh  divestment from South Africa movement?
Whose needs will the growth in pharmacy informatics meet?,the needs of who will the growth in pharmacy informatics meet?
28' is the minimum size of what?,25' hold on 28' is the minimum size of what?
What patrols the body looking for phagocytes?,What feature performs no no sorry what patrols the body looking for phagocytes?
Who lead the school back to leading research institution in 2oth century?,Who devised oh no lead the school back to leading research institution in 20th century?
What types of medications do specialty pharmacies stock?,What types of treatment oops no make that what medications carried by specialty pharmacies?
What relationship do finance initiatives involve?,Which or no make that what relationship do finance initiatives involve?
What is the name of the American writer and satirist who is also a university alumni?,Which is the no rather what is the name of the American writer and satirist who is also a university alumni?
Who does Sophocles defy?,Who does Thebes actually no who does Sophocles defy?
What fluids are enzymes not found in?,What fluids are pathogens wait no enzymes found in no not?
Most imperialism was carried out using which method of transport?,"How did colonialism, not that, I mean, imperialism expand and what was its transport method?"
What issues were not addressed in the Treaty of Aix-la-Chapelle?,"What issues were not addressed in the Treaty of the Atlantic, oops make the the Treaty of Aix-la-Chapelle?"
There were many Mongols with what expected status?,There were many Mongols with what social power no no dang it expected status?
What does a car have besides a commune?,"What city has districts with no powiat entitlements no change that to besides a commune, what else does a car have?"
"What, rather than Islamism, requires explanation?","When was um what, rather than Islamism, requires explanation?"
How long was it clear how NK cells recognized tumors?,What is one part of how long was it clear how NK cells recognized tumors?
What continues until the building is well established and recognized?,With common er what continues until the building is well established and recognized?
How did Natives in Logstown take Celeron's information?,What was Logstown's response i mean how did the natives there take Celeron's information?
Why do firms substitute equipment for workers?,How do firms or rather why do firms substitute equipment for workers?
"What do isolated, spaced out graves of plague victims indicate?","How does no make that what do isolated, spaced out graves of plague victims indicate?"
When did Wei Yilin die?,When did Hu Sihui die no Wei Yilin?
Public Bill Committees have been set up to do what?,Public Bill Committees developed no they have been set up to do what?
Jellyfish and sea anemones belong to which group/,Where do or tell me which group do Jellyfish and sea anemones belong to?
What stature did pharmacists have in the pre-Heian Imperial court?,What stature did physicians I mean pharmacists have in the pre-Heian Imperial court?
"When less workers are required, what happens to the job market?","When less workers are required, what happens to the worker or uh job market?"
What secretes pathogens that enhance the host's immune response?,"What secretes pathogens that reduce, no wait, enhance the host's immune response?"
What is the Chinese name for the Yuan dynasty?,Who ended or rather what is the Chinese name for the Yuan dynasty?
What occurs when electron clouds overlap from different atoms?,What occurs when Pauli repulsion no electron clouds overlap from different atoms?
Who included 1 as the first prime number in the mid 18th century?,How did no who included 1 as the first prime number in the mid 19th century no mid-18th?
Where do platycenida live?,What do or instead first where do platycenida live?
What issue has been plaguing the civil disobedience movement.,What issue has been attacking or rather plaguing the civil disobedience movement?
Who had no real military power during the Yuan?,When was the rule of no scratch that who had no real military power during the Yuan?
What might the fees to attend an Irish boarding school rise to?,Along with no What might the fees to attend an Irish boarding school rise to?
What is another way to state the condition that infinitely many rows can exist only if a and q are coprime?,How is no what is another way to state the condition that infinitely many rows can exist only if a and q are coprime?
How do centripetal forces act in relation to vectors of velocity?,Where does no How do centripetal forces act in relation to vectors of velocity?
What did the ASER report show about how people feel about private schools?,What is I mean what did the ASER report show about how people feel about private schools?
What does Pleurobrachia incorporate into their own tentacles?,"What do vegetarians incorporate into their own tentacles, I'm sorry I mean what do Pleurobrachia incorporate?"
The Brotherhood was the only opposition group outside of Egypt able to do what during elections?,"Despite periodic repression, the Brotherhood has become one of the most influential movements in the Islamic world and The Brotherhood was the only opposition group outside of Egypt able to do what during elections?"
What is the main component of the aboral organ?,What protects eh maybe what is the main component of the aboral organ?
How much funding did the RAND Corporation receive?,What did  no How much funding did the RAND Corporation receive?
What park is close to Vistula street?,"What city is close to Vistula street, I mean park, what park it close to it?"
How long after a banquet with Tugh Temur did Kusala die?,How long after  being installed as the emperor no a banquet with Tugh Temur did Kusala die?
Which languages rejected the Phags-pa script?,Which languages used the Phags-pa script or rather which languages rejected it?
What is the magnitude of force divided by when external force is added?,What experiences er what is the magnitude of force divided by when external force is added?
Who didn't Abercrombie replace as commander in chief?,Who didn't Abercrombie replace as Captain errmm rather commander in chief?
Cristian Bay's encyclopedia concludes that civil disobedience does not only include what behavior?,Civil disobedience does not only include what thought actually behavior according to Cristian Bay's encyclopedia?
What area is the Tower District similar to in architecture?,What area is the Mediterranean Revival Style no not that I mean the Tower District similar to in architecture?
What army was pushing deep into Polish territory to pursue The Home Army fighters in 1944?,Why did er what army was pushing deep into Polish territory to pursue The Home Army fighters in 1944?
Which theorem can be simplified to the Lasker–Noether theorem?,What or no make that which theorem can be simplified to the Lasker Noether theorem?
How many coordinating lead authors does an IPCC report chapter have?,How does or no make that how many coordinating lead authors does an IPCC report chapter have?
 Where did France lose a war in the 1940's?,"Where did France lose a war in the 60's, oh actually in the 1940's?"
What time do the MSPs normally decide on the motions and amendments from that day?,What time does the Presiding Officer no the MSPs normally decide on the motions and amendments from that day?
What kind of barrier does not protect organisms from infection?,What kind of cuticle er like barrier does not protect organisms from infection?
What are some small pharmacy management companies?,Where do er what are some small pharmacy management companies?
When was al-Nimeiry overthrown?,What did um when was al-Nimeiry overthrown?
Who ordered the Stern Review?,Who stated or who ordered the Stern Review?
 In which century do most consider the beginning of imperialism?,In which century by what term is a type of advocacy of empire known no do most consider the beginning of imperialism?
What building is the most interesting of the late 19th-century architecture?,What government er building is the most interesting of the late 19th-century architecture?
Sponges have three main cell layers and no what?,Cnidarians or no make that sponges have three main cell layers and no what?
What is the name of another type of test where p+1 or p-1 takes a certain shape?,Of what form are Sophie Germain primes or rather just what is the name of another type of test where p+1 or p-1 takes a certain shape?
"Large public works, dams, bridges, highways, water/wastewater and utility distribution are under what construction sector?","what construction sector are Large public works, dams, bridges, highways, water/wastewater and utility distribution under ?"
What cells are the second arm of the innate immune system?,What kind er what cells are the second arm of the innate immune system?
What year was St. Elizabeth born?,What flows er what year was St. Elizabeth born?
What difficulties was Shirly having?,What difficulties was Johnson no Shirley having?
When will an object move because the applied force is opposed by static friction?,When would there be no movement or acceleration no remove this and tell me when would an object move because the applied force is opposed by static friction?
Cilia can g ow up too what length?,How long does flagella no sorry Cilia get?
"If Parliament agrees in a vote to the general principle of a bill, what does it then proceed to?","If the presiding officer er uh Parliament agrees in a vote to the general principle of a bill, what does it then proceed to?"
Who's services do construction services integrate through design and construction?,What helps er who's services do construction services integrate through design and construction?
During what period was the Tethys floor discovered?,When did no no um during what period was the Tethys floor discovered?
How many bits are typically used in the key exchange logarithms for for the Diffie-Hellman key exchange?,How many bits are typically used in the RSA and 1024-bit wait hold up no key exchange logarithms for for the Diffie-Hellman key exchange?
What kind of disorders are the result of an overactive immune response?,What kind of diseases i mean disorders are the result of an overactive immune response?
Presidents in the governing party introduce what laws?,Parliament ugh instead residents in the governing party introduce what laws?
Who owns more wealth than the bottom 90 percent of people in the U.S.?,Who owns more wealth than the bottom 90 percent of people in New York or make that in the U.S?
What sea have copepods accidentially been released into?,"What seas have phytoplankton accidentally been released into, oh make that copepods?"
During what years was the Model United Nations team ranked first in South America?,During what years was the Model United Nations team ranked first in North umm rather South America?
What area remained uninhabited for thousands of years? ,"What city, well area actually, remained uninhabited for thousands of years?"
What is heralded by the sounding of the deciding bell?,What is heralded by the chamber I mean the sounding of the deciding bell?
"Europe first colonized the Americas, then Asia, but what continent was third?","Europe first colonized the Americas, then Asia, but what continent was fourth umm I mean third?"
What percentage of seats did political parties identifying as Islamist win in the Egyptian parliamentary election of 2011-2012?,Which percentage of no make that what percentage of seats did political parties identifying as Islamist win in the Egyptian parliamentary election of 2011-2012?
What Book of the Bible is knowledge of the law traced back to?,What Book of the Bible is recognized no publicly no is knowledge of the law traced back to?
Who was Shi Tianze's father?,What dynasty or uh who was Shi Tianze's father?
In what year did Robert Harper become the first president of the University?,In what year did John D. Rockefeller err rather Robert Harper become the first president of the University?
Since what year did the university offer a doctorate in Cinema & Media studies?,Since what year did the program or rather university offer a doctorate in Cinema & Media studies?
"In addition to endowments and tuition, how do boarding schools cover their operating costs?","In addition to endowments and tuition, how do private schools or rather boarding schools cover their operating costs?"
 Who was Shi Tianze's uncle?,Who was Shi Bingzhi's uncle ah darn I meant Shi Tianze's?
What is an example of a peer-reviewed resource?,What must  no What is an example of a peer-reviewed resource?
How many intercollegiate sports does Harvard compete in NCAA division I,How many intercollegiate sports does Oxford or rather Harvard compete in NCAA division I?
"In the fall quarter of 2014, how many students signed up for the university's professional schools?","In the fall quarter of 2015 or rather of 2014, how many students signed up for the university's professional schools?"
What kind of cell is not an innate leukocyte?,What kind of microorganism no no wait what kind of cell is not an innate leukocyte?
Theories on imperialism don't use which country as a model?,Theories on idealism don't use which country as a model no imperialism?
Who came up with the theory of relativity?,"When was, or actually tell me who came up with the theory of relativity?"
What is the strongest main interaction?,What is the Standard Model no the strongest main interaction?
Who rejected an index of health and social problems?,What I mean who rejected an index of health and social problems?
Which organizations delegates has a disagreement with the SPM?,Which organizations delegates has an agreement with the SPM no a disagreement with the SPM?
What did the Velvet revolution hope to accomplish in India?,How did the no make that what did the Velvet revolution hope to accomplish in India?
What increases rapidly as per capita income increases?,What did higher material living wait I mean what increases rapidly as per capita income increases?
Who runs the UNEP Council?,Who runs the WMO or no make that the UNEP Council?
What is the potential earnings for a job where there are few skilled workers but many available positions?,What has the tendency is the potential earnings for a job where there are few skilled workers but many available positions?
"What is the name of an integer in which addition, subtraction, and multiplication are defined?","Which is the no make that what is the name of an integer in which addition, subtraction, and multiplication are defined?"
How many rooms does the Katyn Historical Museum have?,How many museums oops rooms does the Katyn Historical Museum have?
 What was Tugh's Japanese-style name?,"How well, or rather, what was Tugh's Japanese-style name?"
What enzyme is not an antibacterial?,What enzyme is a sorry I meant not an antibacterial?
What is the virus in humans that causes cervical cancer?,What is the process excuse me the virus in humans that causes cervical cancer?
The strong force is due to the exchange of what?,How many er the strong force is due to the exchange of what?
Which country today is a remnant of the Ottoman empire?,What place Which country today is a remnant of the Ottoman empire?
 Germany doesn't have an imperialistic future until when?,Germany had a no scratch that didn't have an imperialistic future until when?
In what century was South Africa established as a country?,When was no what century was South Africa established as a country?
In what two age groups is the strength of the immune system reduced?,In what two age groups is the strength of the thymus hmm no uh immune system reduced?
What was Shrewsbury's conclusion?,What was Twigg's conclusion no rather Shrewsbury's conclusion?
Excessive bureaucratic red tape is one of the reasons for what type of ownership?,Excessive bureaucratic red tape is one of the reasons for excessive control no no I mean for what type of ownership?
Previous to isotopic dating sections of rocks had to be dated using fossils and stratigraphic correlation relative to what? ,Previous to isotopic dating sections of materials or uh rocks had to be dated using fossils and stratigraphic correlation relative to what?
"If q=9 and a=1,2,4,5,7, or 8, how many primes would be in a progression?","If q=9 and a=1,2,4,5,7, or 8, how many primes would be in a wrap I mean progression?"
What percentage of Filipino primary school students are in private schools?,What have or what percentage of Filipino primary school students are in private schools?
Where did Halford Mackinder work?,Where did Friedrich Ratzel no Halford Mackinder work?
What does pumping in regular seawater do to  its bulk?,What does pumping in regular brackish uh instead seawater do to its bulk?
What is Pedanius Dioscorides not known for?,"What is Diocles of Carystus, sorry the Pedanius Dioscorides and what is it not known for?"
Newton was instrumental in describing the characteristics of falling what?,"Galileo, wait, Newton was instrumental in describing the characteristics of falling what?"
"What was a major failure, especially in the building of Warsaw?","Why has or uh what was a major failure, especially in the building of Warsaw?"
In what century was quantum mechanics made? ,In which or no make that what century was quantum mechanics made?
What is the conventional method to measure the Rhine? ,What is the conventional method to measure Lake Constance or no make that the Rhine?
When was Dali conquered by the Yuan?,When was Khan no uh make that Dali conquered by the Yuan?
What is one function that prime numbers have that 15 does not?,Which is or no make that what is one function that prime numbers have that 15 does not?
Who didn't Dinwiddie order to address French in Virginia territory?,Who didn't George er uh Dinwiddie order to address French in Virginia territory?
What arose in the latest vertebrates?,Which no make that what arose in the latest vertebrates?
When did the origins of magnetic and electric fields occur?,How umm rather when did the origins of magnetic and electric fields occur?
How does inequality prevent growth?,When does no how does inequality prevent growth?
 What was the U.S. Information Agency charged with doing during the Warm War?,What position uh sorry what was the U.S. Information Agency charged with doing during the Warm War?
What does the Lek change its name to?,When does Lek change no wait What does the Lek change its name to?
Who did internet2 partner with ,Who did Abilene partner with no no not Abilene but internet2?
"What religion did the Yuan discourage, to support Buddhism?",How did the Yuan suppress like what religion did he discourage to support Buddhism?
What does optical microscopy identify about individual locations?,What does laboratory no um an optical microscopy identify about individual locations?
How many years have imperialistic practices existed?,How many years have annexing or no make that have imperialistic practices existed?
"Other than the steamboat, what modern form of travel brought visitors to Florida?",what modern form of travel brought visitors to Florida Other than the steamboat?
Which part of China had people ranked lower in the class system?,Which part of China had Mongols uh rather people ranked lower in the class system?
What is the Japanese name for the Yuan dynasty?,What is the Chinese I mean Japanese name for the Yuan Dynasty?
"In order to be considered in the top percentile, a person would need to amass how much money each year?","In order to be considered in the bottom uh first tell me about the top percentile, a person would need to amass how much money each year?"
The black plague ravaged Europe for three years followed by what country?,Which plague was part of no scratch that the black plague ravaged Europe for three years followed by what country?
Who is Miasta has the power of legislative action?,Where is no make that who is Miasta has the power of legislative action?
Which park hosts the largest Civil War reenactment on the west coast?,Which park hosts the largest Civil War reenactment on the East coast no no the West coast rather?
Where are specialized cells not located?,Where are immune system no specialized cells not located?
For how many years had temperatures been studied in the 2001 report?,For how many years had sea levels been studied in the 2001 report no temperatures?
Starting in what year has Harvard topped the Academic Rankings of World Universities?,when first has Harvard topped the Academic Rankings of World Universities?
What year was the University of Warsaw established?,When was no no what year was the University of Warsaw established?
What led to Newcastle's fall from power as military advisor?,What led to Loudoun's I meant to say Newcastle's fall from power as military advisor?
What percentage of German students attended private schools in 2008?,The prospect sorry What percentage of German students attended private schools in 2008?
What does heavy and civil engineering construction not do when managing projects?,How does or no rather what does heavy and civil engineering construction not do when managing projects?
What does packet switching pre-allocate?,How does no make that what does packet switching pre-allocate?
Whwn forces are at right ngles to each other what can they be broken down to?,Which or no make that when forces are at right angles to each other what can they be broken down to?
After the Peterloo massacre what poet wrote The Massacre of Anarchy?,After the doctrine of Satyagraha dang it no the Peterloo massacre what poet wrote The Massacre of Anarchy dang it no the Peterloo massacre?
What elements from the rift system in the Alpine orogeny in Southwest Germany?,What are the elements from the rift system in the Alpine orogeny in Southeastern or wait Southwest Germany?
In what century did the amount of forests on the flood plain increase?,In what century did all of the dead branches dry up no sorry I mean when the amount of forests on the flood plain increased?
How many classes of immune hypersensitivity are there?,how many days does it take to develop how many classes of immune hypersensitivity are there?
Who did Duke Yansheng Kong Duanyou flee with?,Who did Duke Yansheng Kong Duanyou moved no flee with?
What suite uses UDP?,What site uses X.25 or make that UDP?
Who normally manages a construction job?,Who normally manages an infrastructure no a construction job?
What was Kublai Khan's relation to Ogedei Khan?,What was G\\u00fcy\\u00fck no um Kublai Khan's relation to Ogedei Khan?
What nationality is Hoesung Lee?,Who was ugh no what nationality is Hoesung Lee?
What behaviour causes rocks deeper in the earth to fault instead of folding?,What behavior causes antiforms or uh sorry rocks deeper in the earth to fault instead of folding?
